OSM_ID,OSM_TYPE,NAME,BUILDING,ADDR_STRASSE,ADDR_HAUSNUMMER,ADDR_PLZ,ADDR_ORT,LAT,LON
122621443,way,,yes,Wiedweg,9,9564,Reichenau,46.817548959999996,13.855122419999997
122621445,way,,detached,Wiedweg,23,9564,Reichenau,46.815266,13.853144939999998
122621446,way,,yes,Wiedweg,41,9564,Reichenau,46.81443464,13.855155700000001
122621447,way,,yes,Wiedweg,22,9564,Reichenau,46.81488948,13.855316299999998
122621452,way,,yes,Wiedweg,27,9564,Reichenau,46.815825839999995,13.85347226
122621453,way,,yes,Wiedweg,35,9564,Reichenau,46.81433038,13.85400608
122621454,way,,yes,Wiedweg,34,9564,Reichenau,46.81512153999999,13.85539708
122621459,way,,yes,Wiedweg,44,9564,Reichenau,46.81460524,13.854539460000002
122621460,way,,yes,Wiedweg,6,9564,Reichenau,46.81841188,13.855066740000002
122621464,way,,yes,Wiedweg,42,9564,Reichenau,46.81449343999999,13.854960899999998
122621467,way,,yes,Wiedweg,10,9564,Reichenau,46.8169759,13.854691885714287
122621469,way,,yes,Wiedweg,5,9564,Reichenau,46.816245328571426,13.854657257142858
122621470,way,,yes,Wiedweg,33,9564,Reichenau,46.81432741428571,13.854649757142857
122621471,way,,yes,Wiedweg,17,9564,Reichenau,46.818928777777785,13.855627011111112
122621473,way,,yes,Wiedweg,11,9564,Reichenau,46.818605142857145,13.855464342857143
122621478,way,,yes,Wiedweg,13,9564,Reichenau,46.81514786666667,13.85293211111111
122621479,way,,yes,Wiedweg,40,9564,Reichenau,46.815099966666665,13.85490097777778
122624666,way,Billa,yes,Wiedweg,45,9564,Patergassen,46.817437315384616,13.860785276923075
122624679,way,,yes,Wiedweg,18,9564,Reichenau,46.8153959,13.85639486
122624681,way,,yes,Wiedweg,1,9564,Reichenau,46.817071840000004,13.862980979999998
122624683,way,,yes,Wiedweg,32,9564,Reichenau,46.815132420000005,13.856384640000002
122624694,way,,yes,Wiedweg,30,9564,Reichenau,46.81673084444444,13.861407033333334
122625971,way,,yes,,64,9564,Reichenau,46.81822604285714,13.864510028571429
122625972,way,,yes,,41,9564,Reichenau,46.817816345454546,13.865151618181818
122625973,way,,retail,,55,9564,Reichenau,46.817979449999996,13.86464765
122625975,way,,school,,22,9564,Reichenau,46.81781559090909,13.865620100000001
122625976,way,,yes,,61,9564,Reichenau,46.817610009999996,13.86429134
122625978,way,Raiffeisenbank,yes,,77,9564,Reichenau,46.818179552941174,13.863742076470587
122625980,way,,yes,,47,9564,Reichenau,46.8164148,13.86578648
122625981,way,,yes,,15,9564,Reichenau,46.8177681,13.864371083333333
122625983,way,,yes,,40,9564,Reichenau,46.81754734,13.86550926
122625984,way,,yes,,62,9564,Reichenau,46.816288220000004,13.865971759999999
122625985,way,,yes,,43,9564,Reichenau,46.8166102,13.86553586
122625986,way,,retail,,45,9564,Reichenau,46.817090480000005,13.86616098
122625992,way,,yes,,44,9564,Reichenau,46.8171454,13.86597222
122625993,way,,apartments,,30,9564,Reichenau,46.81704292857143,13.865644742857143
122625994,way,,yes,,50,9564,Reichenau,46.817942114285714,13.8649678
122625997,way,,yes,,75,9564,Reichenau,46.816758477777775,13.865949677777776
122625998,way,,apartments,,49,9564,Reichenau,46.81770473333333,13.864797383333332
122628022,way,,yes,,60,9564,Reichenau,46.81565699090908,13.866797963636362
122628024,way,,yes,,46,9564,Reichenau,46.8164818909091,13.866186190909092
122628025,way,Cafe Lotto,yes,,51,9564,Reichenau,46.81730043076922,13.866280753846153
122628032,way,,yes,,7,9564,Reichenau,46.81502270000001,13.868194979999998
122628036,way,,detached,,36,9564,Reichenau,46.81541624,13.867859959999999
122628037,way,,yes,,74,9564,Reichenau,46.81537206,13.8669585
122628038,way,,yes,,35,9564,Reichenau,46.81472498000001,13.86829964
122628048,way,,yes,,42,9564,Reichenau,46.81476028,13.868926739999997
